"espn_id","shark_id","name"
18782,13644,"Javon Wims"
15837,11152,"Mike Glennon"
16943,11649,"Tom Savage"
16345,11600,"Nick Williams"
18095,12685,"Josh Perkins"
13981,10276,"Mark Ingram II"
17683,12150,"Todd Gurley II"
18486,12923,"CJ Ham"
3126246,13871,"Dontrell Hilliard"
17658,12157,"Duke Johnson Jr."
15904,11156,"Landry Jones"
15948,11151,"Matt Barkley"
11923,9319,"Stephen Hauschka"
16733,11679,"Odell Beckham Jr."
18746,13641,"Ray-Ray McCloud III"
14851,10500,"Terrelle Pryor"
15072,10738,"Marvin Jones Jr."
17184,11951,"Willie Snead IV"
18620,13668,"DJ Chark"
15555,11104,"Joshua Bellamy"
17562,12178,"Sammie Coates Jr."
17192,11686,"TJ Jones"
18582,13635,"DJ Moore"
60003,521,"Bears"
60006,516,"Cowboys"
60012,512,"Chiefs"
60034,532,"Texans"
60015,503,"Dolphins"
60010,508,"Titans"
60028,520,"Redskins"
60007,511,"Broncos"
60033,531,"Ravens"
60016,524,"Vikings"
60020,505,"Jets"
60023,510,"Steelers"
60024,514,"Chargers"
60008,522,"Lions"
60002,501,"Bills"
60017,504,"Patriots"
60013,513,"Raiders"
60029,527,"Panthers"
60026,515,"Seahawks"
60025,530,"49ers"
60014,528,"Rams"
60001,526,"Falcons"
60018,529,"Saints"
60009,523,"Packers"
60027,525,"Buccaneers"
60005,507,"Browns"
60004,506,"Bengals"
60011,502,"Colts"
60019,517,"Giants"
60021,518,"Eagles"
60022,519,"Cardinals"
60030,509,"Jaguars"
17934,12656,"Rashard Higgins"
13994,10273,"Cam Newton"
18210,13116,"Patrick Mahomes"
14880,10700,"Kirk Cousins"
8439,7836,"Aaron Rodgers"
8664,8062,"Ryan Fitzpatrick"
17794,12611,"Jared Goff"
2330,5848,"Tom Brady"
18246,13113,"Deshaun Watson"
11237,9099,"Matt Ryan"
18168,13115,"Mitchell Trubisky"
2580,4925,"Drew Brees"
11252,9064,"Joe Flacco"
5529,7394,"Philip Rivers"
8416,7813,"Alex Smith"
18565,13590,"Baker Mayfield"
5536,7401,"Ben Roethlisberger"
