db_team_name,team,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17
ARZ,ARI,NE,TB,@BUF,LA,@SF,NYJ,SEA,@CAR,BYE,SF,@MIN,@ATL,WSH,@MIA,NO,@SEA,@LA
ATL,ATL,TB,@OAK,@NO,CAR,@DEN,@SEA,SD,GB,@TB,@PHI,BYE,ARI,KC,@LA,SF,@CAR,NO
BAL,BAL,BUF,@CLE,@JAX,OAK,WSH,@NYG,@NYJ,BYE,PIT,CLE,@DAL,CIN,MIA,@NE,PHI,@PIT,@CIN
BUF,BUF,@BAL,NYJ,ARI,@NE,@LA,SF,@MIA,NE,@SEA,BYE,@CIN,JAX,@OAK,PIT,CLE,MIA,@NYJ
CAR,CAR,@DEN,SF,MIN,@ATL,TB,@NO,BYE,ARI,@LA,KC,NO,@OAK,@SEA,SD,@WSH,ATL,@TB
CHI,CHI,@HOU,PHI,@DAL,DET,@IND,JAX,@GB,MIN,BYE,@TB,@NYG,TEN,SF,@DET,GB,WSH,@MIN
CIN,CIN,@NYJ,@PIT,DEN,MIA,@DAL,@NE,CLE,WSH,BYE,@NYG,BUF,@BAL,PHI,@CLE,PIT,@HOU,BAL
CLE,CLE,@PHI,BAL,@MIA,@WSH,NE,@TEN,@CIN,NYJ,DAL,@BAL,PIT,NYG,BYE,CIN,@BUF,SD,@PIT
DAL,DAL,NYG,@WSH,CHI,@SF,CIN,@GB,BYE,PHI,@CLE,@PIT,BAL,WSH,@MIN,@NYG,TB,DET,@PHI
DEN,DEN,CAR,IND,@CIN,@TB,ATL,@SD,HOU,SD,@OAK,@NO,BYE,KC,@JAX,@TEN,NE,@KC,OAK
DET,DET,@IND,TEN,@GB,@CHI,PHI,LA,WSH,@HOU,@MIN,BYE,JAX,MIN,@NO,CHI,@NYG,@DAL,GB
GBP,GB,@JAX,@MIN,DET,BYE,NYG,DAL,CHI,@ATL,IND,@TEN,@WSH,@PHI,HOU,SEA,@CHI,MIN,@DET
HOU,HOU,CHI,KC,@NE,TEN,@MIN,IND,@DEN,DET,BYE,@JAX,@OAK,SD,@GB,@IND,JAX,CIN,@TEN
IND,IND,DET,@DEN,SD,@JAX,CHI,@HOU,@TEN,KC,@GB,BYE,TEN,PIT,@NYJ,HOU,@MIN,@OAK,JAX
JAC,JAX,GB,@SD,BAL,IND,BYE,@CHI,OAK,@TEN,@KC,HOU,@DET,@BUF,DEN,MIN,@HOU,TEN,@IND
KCC,KC,SD,@HOU,NYJ,@PIT,BYE,@OAK,NO,@IND,JAX,@CAR,TB,@DEN,@ATL,OAK,TEN,DEN,@SD
RAM,LA,@SF,SEA,@TB,@ARI,BUF,@DET,NYG,BYE,CAR,@NYJ,MIA,@NO,@NE,ATL,@SEA,SF,ARI
MIA,MIA,@SEA,@NE,CLE,@CIN,TEN,PIT,BUF,BYE,NYJ,@SD,@LA,SF,@BAL,ARI,@NYJ,@BUF,NE
MIN,MIN,@TEN,GB,@CAR,NYG,HOU,BYE,@PHI,@CHI,DET,@WSH,ARI,@DET,DAL,@JAX,IND,@GB,CHI
NEP,NE,@ARI,MIA,HOU,BUF,@CLE,CIN,@PIT,@BUF,BYE,SEA,@SF,@NYJ,LA,BAL,@DEN,NYJ,@MIA
NOR,NO,OAK,@NYG,ATL,@SD,BYE,CAR,@KC,SEA,@SF,DEN,@CAR,LA,DET,@TB,@ARI,TB,@ATL
NYG,NYG,@DAL,NO,WSH,@MIN,@GB,BAL,@LA,BYE,PHI,CIN,CHI,@CLE,@PIT,DAL,DET,@PHI,@WSH
NYJ,NYJ,CIN,@BUF,@KC,SEA,@PIT,@ARI,BAL,@CLE,@MIA,LA,BYE,NE,IND,@SF,MIA,@NE,BUF
OAK,OAK,@NO,ATL,@TEN,@BAL,SD,KC,@JAX,@TB,DEN,BYE,HOU,CAR,BUF,@KC,@SD,IND,@DEN
PHI,PHI,CLE,@CHI,PIT,BYE,@DET,@WSH,MIN,@DAL,@NYG,ATL,@SEA,GB,@CIN,WSH,@BAL,NYG,DAL
PIT,PIT,@WSH,CIN,@PHI,KC,NYJ,@MIA,NE,BYE,@BAL,DAL,@CLE,@IND,NYG,@BUF,@CIN,BAL,CLE
SDC,SD,@KC,JAX,@IND,NO,@OAK,DEN,@ATL,@DEN,TEN,MIA,BYE,@HOU,TB,@CAR,OAK,@CLE,KC
SFO,SF,LA,@CAR,@SEA,DAL,ARI,@BUF,TB,BYE,NO,@ARI,NE,@MIA,@CHI,NYJ,@ATL,@LA,SEA
SEA,SEA,MIA,@LA,SF,@NYJ,BYE,ATL,@ARI,@NO,BUF,@NE,PHI,@TB,CAR,@GB,LA,ARI,@SF
TBB,TB,@ATL,@ARI,LA,DEN,@CAR,BYE,@SF,OAK,ATL,CHI,@KC,SEA,@SD,NO,@DAL,@NO,CAR
TEN,TEN,MIN,@DET,OAK,@HOU,@MIA,CLE,IND,JAX,@SD,GB,@IND,@CHI,BYE,DEN,@KC,@JAX,HOU
WAS,WSH,PIT,DAL,@NYG,CLE,@BAL,PHI,@DET,@CIN,BYE,MIN,GB,@DAL,@ARI,@PHI,CAR,@CHI,NYG
