Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Gronkowski, Rob",NEP,TE,131.7,42.1,79.2,1196.7,11.8,6.1,2.4,2.2,0.0,0.6,0.5,12.8,3.3,0.8,0.3,0.0,0.0,0.0,2.0,0.0,41.4,190.6
2,"Reed, Jordan",WAS,TE,116.8,41.7,85.9,981.6,11.0,6.1,2.8,2.1,0.0,0.0,0.0,11.9,2.0,0.7,0.2,0.0,0.0,0.0,-2.4,2.1,39.9,159.8
3,"Walker, Delanie",TEN,TE,143.8,34.5,92.1,1141.4,5.7,4.0,0.2,0.0,0.0,0.0,1.6,12.6,2.3,0.8,0.3,6.5,0.0,0.0,0.0,0.0,34.4,149.7
4,"Thomas, Julius",JAC,TE,123.2,34.9,73.0,734.9,8.9,5.1,1.2,1.9,0.6,0.0,0.0,2.9,1.5,0.5,0.2,0.0,0.0,0.0,0.0,0.0,34.9,126.8
5,"Olsen, Greg",CAR,TE,112.8,40.1,73.6,985.4,4.2,0.9,1.8,0.8,0.6,0.0,0.0,11.9,2.0,0.7,0.2,0.0,0.0,0.0,0.0,0.7,38.9,122.5
6,"Kelce, Travis",KCC,TE,107.1,34.6,74.0,870.7,6.0,2.0,2.0,1.0,0.0,1.0,0.0,10.5,1.7,0.6,0.2,0.0,0.0,0.0,0.0,2.5,32.8,120.5
7,"Barnidge, Gary",CLE,TE,101.1,38.1,61.0,795.0,6.0,3.8,1.4,0.5,0.0,0.0,0.3,7.2,1.6,0.5,0.2,0.0,0.0,0.0,0.0,0.0,34.7,115.7
8,"Eifert, Tyler",CIN,TE,82.3,22.8,56.9,669.4,7.0,2.6,1.8,1.8,0.9,0.0,0.0,2.0,1.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,23.3,108.9
9,"Gates, Antonio",SDC,TE,100.0,30.0,60.0,655.0,7.0,3.0,3.0,1.0,0.0,0.0,0.0,10.5,1.7,0.6,0.2,0.0,0.0,0.0,0.0,0.0,33.7,108.7
10,"Allen, Dwayne",IND,TE,104.5,28.2,61.5,564.8,7.9,4.8,0.0,0.9,0.9,0.0,1.3,2.3,1.1,0.4,0.1,1.6,0.0,0.0,0.0,0.0,29.4,104.2
11,"Ertz, Zach",PHI,TE,117.0,27.2,73.9,852.2,3.3,1.4,0.5,0.9,0.5,0.0,0.0,8.9,1.7,0.6,0.2,0.0,0.0,0.0,8.7,1.1,27.4,102.6
12,"Miller, Zach",CHI,TE,92.7,29.1,63.4,691.8,5.3,3.3,0.2,1.3,0.0,0.0,0.5,2.8,1.4,0.5,0.2,0.0,0.0,0.0,0.0,0.0,29.6,101.7
13,"Tye, Will",NYG,TE,97.4,35.5,65.9,700.1,5.0,4.2,0.8,0.0,0.0,0.0,0.0,2.8,1.4,0.5,0.2,0.0,0.0,0.0,0.0,0.2,31.4,99.6
14,"Fleener, Coby",NOR,TE,101.3,30.4,64.5,615.1,6.2,2.8,2.5,0.0,0.0,0.0,0.9,2.5,1.2,0.4,0.2,0.0,0.0,0.0,0.0,0.4,28.3,99.3
15,"Clay, Charles",BUF,TE,105.5,28.5,68.2,729.8,3.9,0.8,0.3,1.5,0.0,1.3,0.0,2.9,1.5,0.5,0.2,0.0,0.0,0.0,0.0,0.0,29.5,96.1
16,"Watson, Benjamin",BAL,TE,106.5,32.1,66.5,671.2,5.0,2.7,2.0,0.3,0.0,0.0,0.0,2.7,1.3,0.4,0.2,0.0,0.0,0.0,0.0,0.6,29.2,95.6
17,"Witten, Jason",DAL,TE,95.0,34.0,70.0,670.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,4.4,1.4,0.5,0.2,0.0,0.0,0.0,0.0,0.8,39.0,95.5
18,"Ebron, Eric",DET,TE,96.7,30.7,61.1,634.8,4.9,3.4,1.4,0.0,0.0,0.0,0.0,2.5,1.3,0.4,0.2,0.0,0.0,0.0,0.0,0.0,30.7,92.7
19,"Bennett, Martellus",NEP,TE,119.5,51.4,64.5,565.2,4.4,3.4,0.0,0.9,0.0,0.0,0.0,2.3,1.1,0.4,0.1,0.0,0.0,0.0,0.0,0.0,51.4,82.7
20,"Brate, Cameron",TBB,TE,61.7,24.5,37.9,479.1,5.7,2.4,0.0,2.3,0.0,1.0,0.0,1.9,1.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,24.4,82.3
21,"Walford, Clive",OAK,TE,80.0,19.0,46.0,520.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,1.6,0.8,0.3,0.1,0.0,0.0,0.0,0.0,0.0,13.7,82.0
22,"McDonald, Vance",SFO,TE,66.3,15.5,43.5,507.8,4.8,3.1,1.7,0.0,0.0,0.0,0.0,2.0,1.0,0.3,0.1,1.0,0.0,0.0,0.0,0.0,15.4,79.7
