Rank,Player,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Gurley, Todd",RAM,RB,316.7,1424.9,14.0,10.1,2.9,0.0,0.0,0.0,1.0,16.0,2.8,0.9,0.4,36.8,341.7,0.3,1.4,0.7,0.0,203.3,1.3,98.1,260.1
2,"Miller, Lamar",HOU,RB,295.0,1198.0,8.0,5.0,1.0,1.0,1.0,0.0,0.0,6.2,1.6,0.5,0.2,43.0,340.0,2.7,1.4,0.7,0.0,0.0,1.4,51.6,215.0
3,"Charles, Jamaal",KCC,RB,217.8,1075.2,11.1,6.9,1.5,0.2,2.0,0.0,0.5,12.5,2.2,0.7,0.3,35.0,274.4,2.7,1.1,0.5,0.0,8.4,2.8,96.3,212.0
4,"Johnson, David",ARZ,RB,192.7,834.9,9.0,5.6,1.8,0.3,0.0,1.1,0.2,9.3,1.7,0.6,0.2,49.2,493.2,2.8,2.0,1.0,0.0,223.3,1.6,71.4,200.4
5,"Rawls, Thomas",SEA,RB,250.0,1215.0,10.1,7.0,1.0,1.0,0.0,0.0,1.1,12.7,2.8,0.8,0.3,20.9,173.9,0.8,0.7,0.3,0.0,0.0,2.0,73.3,200.1
6,"Freeman, Devonta",ATL,RB,202.4,925.1,9.1,6.6,0.8,0.8,0.8,0.0,0.0,7.3,1.4,0.5,0.2,39.6,435.3,0.8,1.4,0.7,0.0,0.0,2.4,87.1,190.7
7,"Bell, Le'Veon",PIT,RB,221.3,964.7,8.0,6.8,1.1,0.2,0.0,0.0,0.0,11.1,1.9,0.6,0.2,46.3,422.2,1.1,2.0,1.0,0.0,0.0,1.3,97.4,190.4
8,"Elliott, Ezekiel",DAL,RB,260.0,1225.0,7.1,5.7,0.7,0.4,0.4,0.0,0.0,13.2,4.9,0.9,0.3,30.0,295.0,0.0,1.4,0.7,0.0,28.1,5.1,85.0,184.6
9,"Peterson, Adrian",MIN,RB,269.6,1144.2,9.0,6.8,0.0,0.0,0.4,1.0,0.7,12.6,2.8,0.8,0.3,30.1,205.2,0.2,0.8,0.4,0.0,8.0,3.4,86.9,183.2
10,"Foster, Arian",MIA,RB,167.7,648.0,7.8,4.8,2.1,0.0,1.0,0.0,0.0,2.6,1.3,0.4,0.2,52.5,518.3,3.1,2.1,1.0,0.0,0.0,1.1,48.5,180.1
11,"Hyde, Carlos",SFO,RB,245.7,924.8,4.8,3.6,0.9,0.0,0.0,0.0,0.3,3.7,1.8,0.6,0.2,56.1,476.7,1.4,1.9,1.0,1.1,209.7,1.0,84.6,175.4
12,"Ingram, Mark",NOR,RB,211.0,945.8,7.7,6.2,0.9,0.6,0.0,0.0,0.0,11.8,1.9,0.6,0.2,45.3,332.2,0.2,1.3,0.7,0.0,0.0,1.3,96.5,172.3
