Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Brown, Antonio",PIT,WR,180.0,56.0,118.0,1785.0,11.0,6.0,2.0,1.0,1.0,0.0,1.0,15.6,10.4,2.9,0.5,26.3,0.0,231.4,7.4,2.2,66.6,245.8
2,"Beckham, Odell",NYG,WR,167.0,61.0,96.8,1481.0,13.3,4.0,2.9,0.7,0.6,0.5,4.7,13.9,9.4,1.0,0.4,12.2,0.0,90.0,0.0,0.2,61.9,228.9
3,"Bryant, Dez",DAL,WR,176.9,58.2,92.9,1425.2,12.0,2.2,5.2,1.1,1.3,0.2,1.9,16.0,2.9,1.0,0.4,0.0,0.0,6.4,0.0,0.0,60.8,214.3
4,"Robinson, Allen",JAC,WR,147.9,46.4,80.6,1305.3,11.5,5.4,3.2,0.0,0.7,1.2,1.0,13.4,5.5,0.9,0.3,0.0,0.0,0.0,0.0,0.2,46.4,200.2
5,"Marshall, Brandon",NYJ,WR,168.9,55.9,100.3,1342.2,11.2,3.3,3.6,1.4,1.5,0.5,0.9,13.4,6.5,0.9,0.3,0.0,0.0,7.8,0.0,1.0,58.4,199.2
6,"Jones, Julio",ATL,WR,178.7,48.2,113.3,1623.7,6.2,2.2,1.1,0.9,0.4,0.8,0.8,14.5,10.4,1.1,0.4,0.4,0.0,0.0,0.0,1.2,49.9,197.2
7,"Nelson, Jordy",GBP,WR,155.9,54.0,81.5,1230.4,10.7,2.9,1.4,1.0,0.8,2.0,2.5,14.4,2.5,0.8,0.3,25.8,0.0,0.5,61.6,0.0,52.2,192.0
8,"Jeffery, Alshon",CHI,WR,168.1,72.4,92.7,1275.4,10.7,2.3,3.2,3.7,0.8,0.7,0.0,14.6,2.6,0.9,0.3,4.4,0.0,0.0,10.2,0.0,72.3,191.9
9,"Cooks, Brandin",NOR,WR,138.3,35.1,91.5,1240.5,9.6,1.3,0.6,2.5,1.6,0.0,3.6,15.1,2.5,0.8,0.3,32.8,0.6,14.2,7.3,0.0,39.2,188.4
10,"Hopkins, DeAndre",HOU,WR,183.5,53.4,99.3,1350.5,8.2,2.9,1.7,2.5,0.2,0.0,0.9,13.4,5.5,0.9,0.3,0.0,0.0,0.0,0.0,0.2,48.9,184.6
11,"Green, A.J.",CIN,WR,148.4,42.8,87.6,1273.8,9.6,2.5,3.3,2.2,0.2,0.0,1.5,13.1,4.9,0.8,0.3,3.2,0.0,0.0,0.0,1.5,46.2,182.4
12,"Watkins, Sammy",BUF,WR,140.4,34.4,77.4,1254.7,9.3,1.9,0.8,3.3,0.0,2.8,0.5,13.4,2.5,0.8,0.3,4.7,0.0,0.0,0.0,0.5,35.9,180.8
13,"Evans, Mike",TBB,WR,171.0,54.9,79.4,1275.5,8.2,3.1,1.0,2.1,1.0,1.0,0.0,13.3,4.0,0.9,0.3,0.0,0.0,0.0,0.0,0.9,53.0,175.1
14,"Cooper, Amari",OAK,WR,177.7,44.2,93.2,1304.9,7.7,1.1,2.5,2.0,0.0,0.0,2.0,16.0,2.6,0.9,0.3,-5.6,0.0,27.7,0.0,0.9,46.8,174.1
15,"Tate, Golden",DET,WR,156.5,53.7,106.8,1119.5,9.6,7.5,0.5,0.0,0.9,0.0,0.7,12.7,2.2,0.7,0.3,37.0,0.0,132.3,26.6,0.7,53.4,172.1
16,"Cobb, Randall",GBP,WR,145.0,41.0,81.0,1125.0,9.0,1.0,3.0,2.0,1.0,1.0,1.0,2.7,1.4,0.5,0.2,47.9,0.0,10.1,0.0,0.0,33.5,171.7
17,"Allen, Keenan",SDC,WR,160.0,40.0,105.0,1225.0,8.0,2.0,2.0,2.0,1.0,1.0,0.0,12.4,2.2,0.7,0.3,0.0,0.0,59.2,32.5,1.0,37.9,168.4
18,"Thomas, Demaryius",DEN,WR,172.2,52.6,95.0,1230.8,6.5,2.8,0.8,0.9,0.0,1.3,0.7,12.9,3.9,0.8,0.3,0.0,0.0,0.0,0.0,1.1,50.5,161.3
19,"Baldwin, Doug",SEA,WR,98.8,25.0,71.9,987.4,10.4,2.4,2.8,3.0,1.1,0.0,1.2,11.9,2.0,0.7,0.2,4.9,0.0,1.9,26.5,0.5,25.1,160.5
20,"Landry, Jarvis",MIA,WR,162.7,46.1,107.2,1150.0,6.0,3.0,1.0,0.0,1.0,0.0,1.0,12.3,2.2,0.7,0.3,61.8,0.6,274.6,411.9,0.9,49.0,159.7
21,"Sanders, Emmanuel",DEN,WR,137.8,40.4,82.0,1185.5,6.4,2.3,1.5,0.0,0.6,0.4,1.5,12.7,3.3,0.8,0.3,23.6,0.0,47.0,19.1,1.1,41.2,157.9
22,"Hilton, T.Y.",IND,WR,114.7,33.5,65.7,1092.7,8.0,2.0,1.0,1.0,1.0,2.0,1.0,12.4,2.2,0.7,0.3,7.8,0.0,5.7,0.0,0.5,34.9,157.1
