espn_id,name,team,position,points
15825,Le'Veon Bell,PIT,RB,351.1
17683,Todd Gurley II,LAR,RB,325.8
17442,David Johnson,ARI,RB,322.8
13934,Antonio Brown,PIT,WR,320.3
2330,Tom Brady,NE,QB,316.2
8439,Aaron Rodgers,GB,QB,313.3
13994,Cam Newton,CAR,QB,303.9
17795,Carson Wentz,PHI,QB,298.3
14881,Russell Wilson,SEA,QB,296.5
17797,Ezekiel Elliott,DAL,RB,293.1
18187,Alvin Kamara,NO,RB,292.9
13982,Julio Jones,ATL,WR,289.4
14874,Andrew Luck,IND,QB,287.9
18567,Saquon Barkley,NYG,RB,285.7
15795,DeAndre Hopkins,HOU,WR,282.6
8416,Alex Smith,WSH,QB,281.0
15818,Keenan Allen,LAC,WR,278.7
18246,Deshaun Watson,HOU,QB,278.6
16733,Odell Beckham Jr.,NYG,WR,277.8
17834,Michael Thomas,NO,WR,277.0
12483,Matthew Stafford,DET,QB,274.6
5536,Ben Roethlisberger,PIT,QB,274.4
14880,Kirk Cousins,MIN,QB,272.2
18210,Patrick Mahomes,KC,QB,272.0
2580,Drew Brees,NO,QB,270.0
11237,Matt Ryan,ATL,QB,266.4
17610,Marcus Mariota,TEN,QB,266.1
5529,Philip Rivers,LAC,QB,265.8
13983,A.J. Green,CIN,WR,265.6
18260,Dalvin Cook,MIN,RB,264.9
16760,Jimmy Garoppolo,SF,QB,261.0
17586,Melvin Gordon,LAC,RB,260.5
18225,Kareem Hunt,KC,RB,258.9
18218,Leonard Fournette,JAX,RB,257.9
18168,Mitchell Trubisky,CHI,QB,255.8
17794,Jared Goff,LAR,QB,254.9
12514,LeSean McCoy,BUF,RB,253.4
16800,Davante Adams,GB,WR,252.9
18279,Christian McCaffrey,CAR,RB,252.8
14012,Andy Dalton,CIN,QB,252.1
17907,Dak Prescott,DAL,QB,250.2
14876,Ryan Tannehill,MIA,QB,249.1
16724,Blake Bortles,JAX,QB,247.3
17178,Adam Thielen,MIN,WR,246.7
15168,Case Keenum,DEN,QB,245.6
14924,T.Y. Hilton,IND,WR,242.3
5528,Larry Fitzgerald,ARI,WR,241.5
17929,Tyreek Hill,KC,WR,240.3
13229,Rob Gronkowski,NE,TE,237.2
16757,Derek Carr,OAK,QB,236.7
5526,Eli Manning,NYG,QB,235.7
13216,Demaryius Thomas,DEN,WR,235.4
16737,Mike Evans,TB,WR,233.0
14221,Doug Baldwin,SEA,WR,232.5
16944,Devonta Freeman,ATL,RB,230.2
17399,Jameis Winston,TB,QB,229.4
16782,Jerick McKinnon,SF,RB,228.6
17676,Stefon Diggs,MIN,WR,228.1
14163,Tyrod Taylor,CLE,QB,220.6
16799,Allen Robinson,CHI,WR,220.3
15705,Josh Gordon,CLE,WR,219.6
15847,Travis Kelce,KC,TE,216.8
13217,Golden Tate,DET,WR,216.2
18306,JuJu Smith-Schuster,PIT,WR,214.5
14912,Alshon Jeffery,PHI,WR,212.3
15835,Zach Ertz,PHI,TE,211.7
17677,Amari Cooper,OAK,WR,211.0
16790,Jarvis Landry,CLE,WR,210.0
18193,Joe Mixon,CIN,RB,207.2
11439,Pierre Garcon,SF,WR,200.4
17919,Jordan Howard,CHI,RB,200.1
13295,Emmanuel Sanders,DEN,WR,199.7
17856,Kenyan Drake,MIA,RB,199.4
11252,Joe Flacco,BAL,QB,198.7
10456,Marshawn Lynch,OAK,RB,197.9
14402,Chris Hogan,NE,WR,197.2
12563,Michael Crabtree,BAL,WR,195.0
15072,Marvin Jones Jr.,DET,WR,194.5
10475,Greg Olsen,CAR,TE,194.3
18618,Derrius Guice,WSH,RB,192.8
9761,Delanie Walker,TEN,TE,191.7
18585,Rashaad Penny,SEA,RB,191.6
15880,Robert Woods,LAR,WR,189.9
14053,Randall Cobb,GB,WR,189.4
16725,Sammy Watkins,KC,WR,187.9
18589,Sony Michel,NE,RB,187.9
18630,Royce Freeman,DEN,RB,187.7
18597,Ronald Jones II,TB,RB,187.6
16730,Kelvin Benjamin,BUF,WR,187.1
16731,Brandin Cooks,LAR,WR,186.7
17933,Alex Collins,BAL,RB,186.6
17682,Devin Funchess,CAR,WR,186.5
18415,Cooper Kupp,LAR,WR,186.0
17832,Derrick Henry,TEN,RB,185.4
18320,Corey Davis,TEN,WR,185.2
18382,Evan Engram,NYG,TE,182.2
17600,Jamison Crowder,WSH,WR,181.9
17593,DeVante Parker,MIA,WR,178.5
17827,Sterling Shepard,NYG,WR,178.4
16016,Kenny Stills,MIA,WR,178.1
15860,Jordan Reed,WSH,TE,177.2
16787,Marqise Lee,JAX,WR,176.3
17556,Jay Ajayi,PHI,RB,175.0
18097,Robby Anderson,NYJ,WR,174.6
13981,Mark Ingram,NO,RB,174.3
17809,Will Fuller V,HOU,WR,174.0
11270,Jordy Nelson,OAK,WR,172.9
15102,Rishard Matthews,TEN,WR,172.2
15839,Marquise Goodwin,SF,WR,172.1
14198,Dion Lewis,TEN,RB,171.3
14922,Mohamed Sanu,ATL,WR,170.7
11283,DeSean Jackson,TB,WR,168.7
16504,Jack Doyle,IND,TE,167.1
17658,Duke Johnson Jr.,CLE,RB,166.6
17668,Nelson Agholor,PHI,WR,166.4
18171,Tarik Cohen,CHI,RB,166.0
14054,Kyle Rudolph,MIN,TE,164.6
17810,Josh Doctson,WSH,WR,164.5
15966,Chris Thompson,WSH,RB,163.8
17689,Tevin Coleman,ATL,RB,162.4
18345,Kenny Golladay,DET,WR,160.9
17163,Allen Hurns,DAL,WR,158.9
12649,Julian Edelman,NE,WR,158.4
13232,Jimmy Graham,GB,TE,157.0
14886,Lamar Miller,HOU,RB,154.4
14993,Greg Zuerlein,LAR,K,151.6
17619,Tyler Lockett,SEA,WR,150.4
18211,Marlon Mack,IND,RB,150.1
18602,Kerryon Johnson,DET,RB,146.6
9704,Stephen Gostkowski,NE,K,145.6
17133,Isaiah Crowell,NYJ,RB,145.4
16781,Paul Richardson,WSH,WR,145.4
17750,Cameron Meredith,NO,WR,144.3
14145,Charles Clay,BUF,TE,144.0
17175,Chris Boswell,PIT,K,143.4
16886,Martavis Bryant,OAK,WR,143.4
16763,Jordan Matthews,NE,WR,141.7
17908,Devontae Booker,DEN,RB,139.8
11122,Matt Prater,DET,K,139.4
16913,James White,NE,RB,139.2
4333,Matt Bryant,ATL,K,138.9
15683,Justin Tucker,BAL,K,138.0
17182,Albert Wilson,MIA,WR,137.9
18610,Anthony Miller,CHI,WR,137.5
15878,Terrance Williams,DAL,WR,137.0
9354,Robbie Gould,SF,K,135.4
1097,Adam Vinatieri,IND,K,135.0
18409,Harrison Butker,KC,K,134.6
18104,Wil Lutz,NO,K,134.4
15994,Theo Riddick,DET,RB,134.1
18178,Jake Elliott,PHI,K,133.3
18362,Jamaal Williams,GB,RB,132.9
12460,Graham Gano,CAR,K,131.4
18584,Calvin Ridley,ATL,WR,131.0
17195,Trey Burton,CHI,TE,130.4
17611,Ty Montgomery,GB,RB,130.0
17179,Ryan Grant,IND,WR,129.0
17184,Willie Snead,BAL,WR,128.7
16810,AJ McCarron,BUF,QB,127.8
18726,Daniel Carlson,MIN,K,127.2
12576,Brandon LaFell,CIN,WR,127.2
14129,Bilal Powell,NYJ,RB,127.1
10453,Ted Ginn Jr.,NO,WR,127.0
18303,David Njoku,CLE,TE,127.0
17784,Cameron Brate,TB,TE,126.1
17746,Josh Lambo,JAX,K,125.9
18606,Christian Kirk,ARI,WR,125.7
12601,Mike Wallace,PHI,WR,125.5
12537,Jared Cook,OAK,TE,125.5
12731,Ryan Succop,TEN,K,125.5
18292,George Kittle,SF,TE,124.6
15826,Giovani Bernard,CIN,RB,124.2
18223,Zay Jones,BUF,WR,123.1
3609,Josh McCown,NYJ,QB,123.0
60030,Jaguars,JAX,D,123.0
10636,Mason Crosby,GB,K,122.9
17169,Chandler Catanzaro,TB,K,122.5
15965,Dustin Hopkins,WSH,K,122.4
17762,Tyrell Williams,LAC,WR,121.6
15853,Vance McDonald,PIT,TE,121.6
16732,Eric Ebron,IND,TE,121.5
15971,Rex Burkhead,NE,RB,121.4
17906,Kenneth Dixon,BAL,RB,121.0
5557,Benjamin Watson,NO,TE,120.9
13197,Sam Bradford,ARI,QB,120.9
16795,Austin Seferian-Jenkins,JAX,TE,120.8
14322,Dan Bailey,DAL,K,120.8
18454,Ka'imi Fairbairn,HOU,K,120.3
17173,Cody Parkey,CHI,K,120.0
11923,Stephen Hauschka,BUF,K,119.7
2148,Sebastian Janikowski,SEA,K,119.7
17861,Austin Hooper,ATL,TE,119.2
18592,Nick Chubb,CLE,RB,119.2
17758,Quincy Enunwa,NYJ,WR,117.8
15788,Tyler Eifert,CIN,TE,117.6
18327,Zane Gonzalez,CLE,K,115.9
18196,D'Onta Foreman,HOU,RB,115.8
15245,Giorgio Tavecchio,OAK,K,115.8
18582,D.J. Moore,CAR,WR,115.3
18165,Aldrick Rosas,NYG,K,115.3
18619,James Washington,PIT,WR,115.0
15091,Randy Bullock,CIN,K,115.0
18572,Josh Rosen,ARI,QB,114.1
15918,Caleb Sturgis,LAC,K,113.9
17171,Brandon McManus,DEN,K,113.9
18431,Ricky Seals-Jones,ARI,TE,113.6
60021,Eagles,PHI,D,113.3
8544,Darren Sproles,PHI,RB,111.9
1440,Phil Dawson,ARI,K,111.8
16804,John Brown,BAL,WR,110.4
18787,Jason Sanders,MIA,K,108.6
60014,Rams,LAR,D,108.3
16040,C.J. Anderson,CAR,RB,108.1
17172,Cairo Santos,NYJ,K,108.0
60017,Patriots,NE,D,108.0
11674,Danny Amendola,MIA,WR,107.9
60033,Ravens,BAL,D,107.8
14909,Kendall Wright,MIN,WR,107.4
18235,Mike Williams,LAC,WR,107.3
60034,Texans,HOU,D,106.6
9705,Brandon Marshall,SEA,WR,106.4
15062,Travis Benjamin,LAC,WR,106.3
60016,Vikings,MIN,D,106.2
14851,Terrelle Pryor Sr.,NYJ,WR,104.9
60024,Chargers,LAC,D,104.6
15920,Latavius Murray,MIN,RB,104.5
60007,Broncos,DEN,D,104.2
18601,Mike Gesicki,MIA,TE,104.1
18302,Dede Westbrook,JAX,WR,103.6
17756,Adam Humphries,TB,WR,102.6
18395,John Ross,CIN,WR,102.6
60010,Titans,TEN,D,101.8
16791,Donte Moncrief,JAX,WR,101.6
18424,Matt Breida,SF,RB,101.5
60022,Cardinals,ARI,D,101.5
15887,Ryan Griffin,HOU,TE,101.4
18458,Austin Ekeler,LAC,RB,99.1
15428,Jermaine Kearse,NYJ,WR,98.7
60029,Panthers,CAR,D,98.0
15349,Cole Beasley,DAL,WR,97.5
