Rank,Player,Team,Position,Pass Yds,Pass TDs,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,FGM,Pts Agn,Tack,Pts
1,"Rodgers, Aaron",GBP,QB,4452.3,37.8,323.8,2.3,0.0,0.0,0.0,0.0,0.0,0.0,358.1
2,"Brady, Tom",NEP,QB,4882.8,35.5,85.4,1.6,0.0,0.0,0.0,0.0,0.0,0.0,342.3
3,"Ryan, Matt",ATL,QB,4861.6,34.0,87.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,318.2
4,"Brees, Drew",NOR,QB,4998.3,33.0,14.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,313.9
5,"Cousins, Kirk",WAS,QB,4737.4,26.3,80.9,5.3,0.0,0.0,0.0,0.0,0.0,0.0,309.1
6,"Wilson, Russell",SEA,QB,4151.0,29.4,376.6,0.9,0.0,0.0,0.0,0.0,0.0,0.0,300.7
7,"Luck, Andrew",IND,QB,4249.4,30.9,339.7,1.6,0.0,0.0,0.0,0.0,0.0,0.0,295.9
8,"Johnson, David",ARZ,RB,0.0,0.0,1113.2,13.7,74.9,797.3,4.1,0.0,0.0,0.0,292.7
9,"Prescott, Dak",DAL,QB,3876.4,25.7,259.2,4.6,0.0,0.0,0.0,0.0,0.0,0.0,292.1
10,"Newton, Cam",CAR,QB,3699.6,24.2,400.3,6.9,0.0,0.0,0.0,0.0,0.0,0.0,286.4
11,"Carr, Derek",OAK,QB,4301.4,32.8,97.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.4
12,"Winston, Jameis",TBB,QB,4400.6,26.4,203.5,3.3,0.0,0.0,0.0,0.0,0.0,0.0,281.8
13,"Stafford, Matthew",DET,QB,4324.6,25.2,173.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0
14,"Taylor, Tyrod",BUF,QB,3099.7,18.3,601.2,5.4,0.0,0.0,0.0,0.0,0.0,0.0,272.7
15,"Roethlisberger, Ben",PIT,QB,4520.1,27.9,24.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,269.9
16,"Elliott, Ezekiel",DAL,RB,0.0,0.0,1595.7,12.8,35.0,322.3,0.4,0.0,0.0,0.0,268.4
17,"Mariota, Marcus",TEN,QB,3851.3,27.3,342.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,267.8
18,"Dalton, Andy",CIN,QB,4007.8,22.2,181.6,3.8,0.0,0.0,0.0,0.0,0.0,0.0,267.6
19,"Palmer, Carson",ARZ,QB,4358.9,28.7,26.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,262.8
20,"Bortles, Blake",JAC,QB,3798.1,25.1,337.9,2.6,0.0,0.0,0.0,0.0,0.0,0.0,262.2
21,"Rivers, Philip",LAC,QB,4395.2,31.6,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.1
22,"Manning, Eli",NYG,QB,4316.4,29.7,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.6
23,"Tannehill, Ryan",MIA,QB,3935.8,26.4,151.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,250.1
24,"Bell, Le'Veon",PIT,RB,0.0,0.0,1419.4,8.3,60.8,461.5,2.2,0.0,0.0,0.0,247.7
25,"Hoyer, Brian",SFO,QB,3443.4,20.4,349.4,2.9,0.0,0.0,0.0,0.0,0.0,0.0,247.4
26,"Bradford, Sam",MIN,QB,4345.8,22.1,74.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.2
27,"Smith, Alex",KCC,QB,3445.0,17.1,326.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,246.8
28,"Freeman, Devonta",ATL,RB,0.0,0.0,1147.6,10.8,53.0,465.0,2.0,0.0,0.0,0.0,234.9
29,"Brown, Antonio",PIT,WR,0.0,0.0,21.0,0.0,114.9,1551.7,11.4,0.0,0.0,0.0,224.8
30,"Howard, Jordan",CHI,RB,0.0,0.0,1381.5,7.9,32.3,320.8,1.4,0.0,0.0,0.0,223.5
31,"Wentz, Carson",PHI,QB,3997.1,16.9,153.3,2.1,0.0,0.0,0.0,0.0,0.0,0.0,220.5
32,"McCoy, LeSean",BUF,RB,0.0,0.0,1157.8,9.0,47.1,367.2,1.5,0.0,0.0,0.0,213.3
33,"Kessler, Cody",CLE,QB,3208.4,13.0,321.2,2.5,0.0,0.0,0.0,0.0,0.0,0.0,201.3
34,"Savage, Tom",HOU,QB,3540.2,15.5,150.8,2.5,0.0,0.0,0.0,0.0,0.0,0.0,200.4
35,"Siemian, Trevor",DEN,QB,3723.2,17.7,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0
36,"Beckham, Odell",NYG,WR,0.0,0.0,7.8,0.0,96.1,1318.8,10.6,0.0,0.0,0.0,195.9
37,"Glennon, Mike",CHI,QB,3632.4,19.2,80.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,194.3
38,"Nelson, Jordy",GBP,WR,0.0,0.0,40.5,1.4,90.2,1123.1,11.4,0.0,0.0,0.0,193.0
39,"Murray, DeMarco",TEN,RB,0.0,0.0,1050.0,7.0,45.1,325.1,2.1,0.0,0.0,0.0,188.6
40,"Lynch, Marshawn",OAK,RB,0.0,0.0,859.3,10.7,39.7,333.3,0.8,0.0,0.0,0.0,186.9
41,"Fournette, Leonard",JAC,RB,0.0,0.0,741.9,11.6,54.3,413.2,0.9,0.0,0.0,0.0,186.5
42,"Gordon, Melvin",LAC,RB,0.0,0.0,1049.8,5.9,53.9,465.7,1.4,0.0,0.0,0.0,185.8
43,"McCown, Josh",NYJ,QB,3549.7,19.2,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.9
44,"Miller, Lamar",HOU,RB,0.0,0.0,1150.2,7.0,37.8,228.0,0.8,0.0,0.0,0.0,182.2
45,"Gurley, Todd",LAR,RB,0.0,0.0,1038.7,7.9,36.9,297.8,0.0,0.0,0.0,0.0,178.9
46,"Hyde, Carlos",SFO,RB,0.0,0.0,1004.8,5.6,37.8,300.0,3.5,0.0,0.0,0.0,177.7
47,"Evans, Mike",TBB,WR,0.0,0.0,0.0,0.0,87.0,1283.9,7.9,0.0,0.0,0.0,177.5
48,"Jones, Julio",ATL,WR,0.0,0.0,0.0,0.0,89.7,1400.0,6.4,0.0,0.0,0.0,177.3
49,"Anderson, C.J.",DEN,RB,0.0,0.0,918.8,7.7,38.9,323.0,2.0,0.0,0.0,0.0,175.9
50,"Flacco, Joe",BAL,QB,3422.9,16.3,44.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,175.1
51,"Thomas, Michael",NOR,WR,0.0,0.0,8.9,0.0,84.7,1150.6,9.7,0.0,0.0,0.0,174.4
52,"Ajayi, Jay",MIA,RB,0.0,0.0,1126.9,6.3,34.5,230.6,0.0,0.0,0.0,0.0,172.4
53,"Ingram, Mark",NOR,RB,0.0,0.0,900.0,6.3,44.8,330.0,1.9,0.0,0.0,0.0,170.9
54,"Bryant, Dez",DAL,WR,0.0,0.0,0.0,0.0,69.9,1058.5,11.0,0.0,0.0,0.0,169.9
55,"Hilton, T.Y.",IND,WR,0.0,0.0,0.0,0.0,83.7,1350.2,5.3,0.0,0.0,0.0,168.6
56,"Mixon, Joe",CIN,RB,0.0,0.0,808.3,8.7,37.3,346.2,0.4,0.0,0.0,0.0,168.4
57,"Green, A.J.",CIN,WR,0.0,0.0,6.8,0.0,86.8,1237.9,7.4,0.0,0.0,0.0,168.0
58,"Gore, Frank",IND,RB,0.0,0.0,1009.4,4.1,36.1,283.5,2.8,0.0,0.0,0.0,166.4
59,"Blount, LeGarrette",PHI,RB,0.0,0.0,791.2,12.0,15.7,126.2,0.9,0.0,0.0,0.0,166.4
60,"McCaffrey, Christian",CAR,RB,0.0,0.0,869.9,7.8,36.5,292.2,1.1,0.0,0.0,0.0,166.0
61,"Cook, Dalvin",MIN,RB,0.0,0.0,819.9,7.1,44.7,313.4,2.0,0.0,0.0,0.0,165.6
62,"Lacy, Eddie",SEA,RB,0.0,0.0,1044.8,5.5,36.2,257.1,0.5,0.0,0.0,0.0,165.2
